Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
2005,MB,13,Elk,2.0942,2.0942,0.041884,0.000460724,0.001172752,1.29003E-05,
2005,MB,14,Wild boars,2.6682,2.6682,0.0040023,0.001503379,0.000112064,4.20946E-05,
2005,MB,15,Rabbit,1.338312811,1.338312811,0,0.000107065,0,2.99782E-06,
2005,MB,16,Mink,10.64634243,10.64634243,0,0.007239513,0,0.000202706,
2005,MB,17,Fox,0.113872,0.113872,0,7.7433E-05,0,2.16812E-06,
2005,NB,1,Dairy Cattle,19.4,19.4,2.319662383,0.435424932,0.064950547,0.012191898,
2005,NB,2,Non-Dairy Cattle,71.60044739,71.6,4.74820533,0.368156404,0.132949749,0.010308379,
2005,NB,3,Sheep and Lamb,7.2,7.2,0.0576,0.002027656,0.0016128,5.67744E-05,
2005,NB,4,Goat,1.1296,1.1296,0.005648,0.000356818,0.000158144,9.99092E-06,
2005,NB,5,Buffalo,0.088666667,0.088666667,0.004876667,0.000305317,0.000136547,8.54889E-06,
2005,NB,6,Horse,2.9106,2.9106,0.0523908,0.007580705,0.001466942,0.00021226,
2005,NB,7,Llama and alpaca,0.1662,0.1662,0.0013296,5.3995E-05,3.72288E-05,1.51186E-06,
2005,NB,8,Swine,106.875,106.875,0.1603125,0.437692011,0.00448875,0.012255376,
2005,NB,9,Poultry,3415.9738,3415.9738,0,0.183228059,0,0.005130386,
2005,NB,11,Mules and Asses,0.0722,0.0722,0.000722,0.000054872,0.000020216,1.53642E-06,
2005,NB,12,Deer,0.2936,0.2936,0.005872,0.000064592,0.000164416,1.80858E-06,
2005,NB,13,Elk,0.0334,0.0334,0.000668,0.000007348,0.000018704,2.05744E-07,
2005,NB,14,Wild boars,0.2114,0.2114,0.0003171,0.000119112,8.8788E-06,3.33513E-06,
2005,NB,15,Rabbit,0.15469675,0.15469675,0,1.23757E-05,0,3.46521E-07,
2005,NB,16,Mink,6,6,0,0.00408,0,0.00011424,
2005,NB,17,Fox,0.68,0.68,0,0.0004624,0,1.29472E-05,
2005,NL,1,Dairy Cattle,6,6,0.801796676,0.211489858,0.022450307,0.005921716,
2005,NL,2,Non-Dairy Cattle,5.2,5.2,0.406487562,0.064648292,0.011381652,0.001810152,
2005,NL,3,Sheep and Lamb,4.85,4.85,0.0388,0.001371741,0.0010864,3.84087E-05,
2005,NL,4,Goat,0.118,0.118,0.00059,3.72739E-05,0.00001652,1.04367E-06,
2005,NL,5,Buffalo,0,0,0,0,0,0,
